throughput,threads,uratio,lsize
2535058.59375,1,0,100
238773.622047244,1,0,1000
7735.3515625,1,0,10000
4157622.39841427,2,0,100
300614.285714286,2,0,1000
18652.471855115,2,0,10000
5901396.92765114,3,0,100
508201.875616979,3,0,1000
18577.1649733914,3,0,10000
5187527.73686794,4,0,100
526367.850098619,4,0,1000
27543.1201550388,4,0,10000
5654167.56228627,5,0,100
529448.058252427,5,0,1000
25701.3241785189,5,0,10000
5845795.95765159,6,0,100
527810.996563574,6,0,1000
27450.3667481663,6,0,10000
5889966.19304263,7,0,100
501334.609861178,7,0,1000
26994.2028985507,7,0,10000
5993892.7184466,8,0,100
508850.75352455,8,0,1000
27429.0508149569,8,0,10000
6002336.08949416,9,0,100
531449.927431059,9,0,1000
25429.1079812207,9,0,10000
5959259.86525505,10,0,100
501278.317152104,10,0,1000
25720.3028868907,10,0,10000
5877808.36575875,11,0,100
554221.686746988,11,0,1000
27559.2326139089,11,0,10000
6240242.38026125,12,0,100
548015.230842456,12,0,1000
27696.7803940413,12,0,10000
2501938.45396356,1,10,100
82800.2936857562,1,10,1000
9474.79197258933,1,10,10000
3709258.47665848,2,10,100
186930.864197531,2,10,1000
21392.9980276134,2,10,10000
3475126.17052735,3,10,100
237134.975369458,3,10,1000
21699.3746993747,3,10,10000
5202351.96589294,4,10,100
256830.374753452,4,10,1000
21883.1730769231,4,10,10000
5756962.7633513,5,10,100
259280.451866405,5,10,1000
23888.18359375,5,10,10000
5666276.93807899,6,10,100
235975.961538462,6,10,1000
25111.3262342691,6,10,10000
5908652.34375,7,10,100
259929.892891918,7,10,1000
20520.3488372093,7,10,10000
5443119.13875598,8,10,100
245699.340245052,8,10,1000
25499.2927864215,8,10,10000
5670508.72093023,9,10,100
253474.757281553,9,10,1000
25752.688172043,9,10,10000
5363860.11080332,10,10,100
269824.586977648,10,10,1000
26854.9471661864,10,10,10000
4979805.01656413,11,10,100
257016.354016354,11,10,1000
25116.7816091954,11,10,10000
5033588.77225012,12,10,100
261542.11035818,12,10,1000
26283.1730769231,12,10,10000
2537058.03571429,1,25,100
100477.38446411,1,25,1000
17622.7634194831,1,25,10000
4351413.30049261,2,25,100
220462.862764388,2,25,1000
21831.1045071818,2,25,10000
4504816.04696673,3,25,100
207475.544794189,3,25,1000
22049.5386109762,3,25,10000
5499741.58415842,4,25,100
254052.073288332,4,25,1000
25309.3734822729,4,25,10000
5042296.314258,5,25,100
277044.673539519,5,25,1000
25688.0155264435,5,25,10000
5579334.46932814,6,25,100
284589.390962672,6,25,1000
25575.3026634383,6,25,10000
5586181.25594672,7,25,100
260252.390057361,7,25,1000
25219.4525904203,7,25,10000
5070006.69216061,8,25,100
278556.307394877,8,25,1000
25950.146627566,8,25,10000
5277047.00854701,9,25,100
290505.243088656,9,25,1000
25622.8733459357,9,25,10000
5047302.22039474,10,25,100
286403.049070986,10,25,1000
25623.4146341463,10,25,10000
5563502.65572187,11,25,100
291932.071809801,11,25,1000
25126.1568436434,11,25,10000
5445718.38034577,12,25,100
277356.779268857,12,25,1000
25695.3051643192,12,25,10000
1437982.51578436,1,50,100
90152.1845851743,1,50,1000
11345.9645669291,1,50,10000
3844800.09823183,2,50,100
307875.865479723,2,50,1000
17264.720435428,2,50,10000
4719265.91021214,3,50,100
305285.996055227,3,50,1000
22499.5069033531,3,50,10000
4590423.86117137,4,50,100
276791.952894995,4,50,1000
23588.7254901961,4,50,10000
5146526.75916749,5,50,100
286093.444227006,5,50,1000
24734.3444227006,5,50,10000
4539065.29209622,6,50,100
325727.537639631,6,50,1000
24994.1205291524,6,50,10000
4847696.02921041,7,50,100
331747.57751938,7,50,1000
24815.67695962,7,50,10000
4724969.98635744,8,50,100
290606.916707258,8,50,1000
24799.7090203686,8,50,10000
4299089.84047019,9,50,100
328367.754505602,9,50,1000
24620.320855615,9,50,10000
4887196.99175158,10,50,100
325038.406144983,10,50,1000
25485.1436921578,10,50,10000
4312664.27667651,11,50,100
315678.796700631,11,50,1000
25578.6704925873,11,50,10000
4608684.04351768,12,50,100
305806.529044647,12,50,1000
25177.8411792677,12,50,10000
2644837.186424,1,75,100
184483.300589391,1,75,1000
18673.5395189003,1,75,10000
3852519.9802664,2,75,100
231965.925925926,2,75,1000
15926.4490988797,2,75,10000
4036074.05821918,3,75,100
363037.419990153,3,75,1000
15500.7334963325,3,75,10000
4517321.81638697,4,75,100
319660.626836435,4,75,1000
21999.5152690257,4,75,10000
3845651.12406328,5,75,100
287778.684589534,5,75,1000
25448.8304093567,5,75,10000
4554681.81818182,6,75,100
334423.300970874,6,75,1000
24908.5095917364,6,75,10000
4487652.38558909,7,75,100
300776.049033475,7,75,1000
25141.1368015414,7,75,10000
4582140.05876592,8,75,100
332578.922495274,8,75,1000
25382.7751196172,8,75,10000
4169778.34335956,9,75,100
355321.324245375,9,75,1000
25539.9903053805,9,75,10000
3748918.82404563,10,75,100
348433.269780744,10,75,1000
25414.9397590361,10,75,10000
3245571.20802779,11,75,100
356754.488112567,11,75,1000
23995.2153110048,11,75,10000
4366873.38748208,12,75,100
361187.201528176,12,75,1000
25521.0401891253,12,75,10000
2102565.6019656,1,100,100
157488.954344624,1,100,1000
8779.85257985258,1,100,10000
3727522.87260207,2,100,100
263759.350393701,2,100,1000
17310.3787506149,2,100,10000
3800506.04089219,3,100,100
327395.555555556,3,100,1000
26498.0276134122,3,100,10000
4984811.72991622,4,100,100
395272.906403941,4,100,1000
23009.2682926829,4,100,10000
4833782.84313726,5,100,100
321476.704266797,5,100,1000
26076.4676862358,5,100,10000
4794892.22440945,6,100,100
366886.274509804,6,100,1000
24270.680372002,6,100,10000
4582833.57664234,7,100,100
342911.035488576,7,100,1000
25618.5866408519,7,100,10000
4108447.57281553,8,100,100
354416.950803702,8,100,1000
25308.8729016787,8,100,10000
4763032.38469087,9,100,100
391730.917874396,9,100,1000
25622.641509434,9,100,10000
4333116.98482624,10,100,100
388310.745401743,10,100,1000
24718.8872620791,10,100,10000
4650479.58704834,11,100,100
385827.042522695,11,100,1000
24490.2506963788,11,100,10000
4656281.66986564,12,100,100
371831.032841504,12,100,1000
25016.2037037037,12,100,10000
